NombreDB;NombreEjercicio;ModeloUsado;EvaluandoCategoria;DuracionTiempoRespuesta;ExitoRespuesta;TokensEntrada;TokensSalida
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-coder:free;Respuesta Incorrecta;0.00;No;0;0
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-coder:free;Error Logico;0.00;No;0;0
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-12b-it:free;Elementos Extras;3.38;Si;4160;4
Contexto2023-1;Ejercicio3_2023-1;meta-llama/llama-4-maverick:free;Elementos Extras;4.56;Si;3798;185
Contexto2023-1;Ejercicio3_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Sintaxis;0.00;No;0;0
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-235b-a22b:free;Elementos Extras;0.00;No;0;0
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-14b:free;Respuesta Incorrecta;0.00;No;0;0
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-235b-a22b:free;Respuesta Correcta;23.81;Si;5213;723
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-27b-it:free;Error Logico;5.00;Si;4270;0
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-8b:free;Error Sintaxis;21.69;Si;4112;1225
Contexto2023-2;Ejercicio2_2023-2;google/gemma-3-4b-it:free;Respuesta Correcta;6.49;Si;3937;0
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-30b-a3b:free;Respuesta Correcta;11.96;Si;4156;575
Contexto2023-2;Ejercicio1_2023-2;mistralai/mistral-nemo:free;Error Logico;9.00;Si;3801;225
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-4b-it:free;Respuesta Incorrecta;5.11;Si;4087;0
Contexto2023-2;Ejercicio1_2023-2;x-ai/grok-4-fast:free;Respuesta Incorrecta;15.57;Si;3745;979
Contexto2023-1;Ejercicio1_2023-1;deepseek/deepseek-chat-v3.1:free;Respuesta Correcta;5.44;Si;3956;13
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-27b-it:free;Respuesta Incorrecta;9.89;Si;3957;215
Contexto2023-2;Ejercicio1_2023-2;deepseek/deepseek-chat-v3.1:free;Elementos Extras;11.27;Si;3889;143
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-8b:free;Error Logico;30.28;Si;3819;1643
Contexto2023-2;Ejercicio2_2023-2;google/gemma-3-12b-it:free;Error Sintaxis;7.44;Si;4047;2
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-coder:free;Respuesta Correcta;0.00;No;0;0
Contexto2023-2;Ejercicio1_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Respuesta Incorrecta;0.00;No;0;0
Contexto2023-2;Ejercicio2_2023-2;mistralai/mistral-nemo:free;Respuesta Correcta;0.00;No;0;0
Contexto2023-2;Ejercicio1_2023-2;meta-llama/llama-4-maverick:free;Error Logico;0.00;No;0;0
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-4b-it:free;Elementos Extras;4.28;Si;4083;0
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-coder:free;Elementos Extras;4.77;Si;4028;164
